objectid,name,average,avgweight,boardgamecategory,boardgamemechanic
55279,Ergo,5.52526,3.6429,"['Abstract Strategy', 'Card Game']","['Abstract Strategy', 'Card Game']"
167850,Zombie Mania!,4.83394,0,"['Dice', 'Zombies']","['Dice Rolling', 'Push Your Luck']"
13115,Taki,5.51297,1,"['Card Game', 'Number']","['Card Game', 'Number']"
131164,Barbeque Party,5.13333,1,"['Action / Dexterity', 'Childrens Game']",['Set Collection']
18097,Monopoly  Moscow,5.22283,1.3333,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
31069,Medievalia,5.56415,2.1613,"['Card Game', 'Medieval']",['Card Drafting']
95589,Gang de M\u00e9m\u00e9s,4.97639,1,"['Card Game', 'Fighting', 'Humor', 'Print & Play']",['Simultaneous Action Selection']
21622,Monopoly  Simpsons Treehouse of Horror,5.51019,1.75,"['Economic', 'Movies / TV / Radio theme', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
2392,Mastermind,5.52471,1.8054,"['Abstract Strategy', 'Deduction']",['Paper-and-Pencil']
605,Banana Republic,5.38228,1.4615,"['Bluffing', 'Card Game']",['Hand Management']
18895,Monopoly  Seventieth Anniversary Edition,5.43518,1.9524,"['Economic', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
58375,Eine gegen Eine,5.025,1,"['Edition Erlku00f6nig', 'Sphinx Spieleverlag']","['Edition Erlku00f6nig', 'Sphinx Spieleverlag']"
188576,GG,5.35625,1.5,"['Abstract Strategy', 'Card Game', 'Deduction', 'Memory']","['Memory', 'Rock-Paper-Scissors']"
408,Zoondo,5.46482,1.5714,"['Animals', 'Bluffing', 'Card Game', 'Fighting']","['Area Movement', 'Secret Unit Deployment']"
675,4th Dimension,5.28514,2,"['Abstract Strategy', 'Science Fiction']",['Rock-Paper-Scissors']
13350,Jeu du Nain Jaune,5.23742,1.75,"['Bluffing', 'Card Game', 'Memory']","['Betting and Bluffing', 'Memory']"
8100,Frik,5.12625,1.3333,['Economic'],"['Roll / Spin and Move', 'Stock Holding']"
2664,Push Over,5.06944,1.3333,['Racing'],['Dice Rolling']
6874,M\u00fcller & Sohn,5.03415,1,"['Farming', 'Industry / Manufacturing', 'Travel']",['Roll / Spin and Move']
11563,Forgotten Axis  The Finnish Campaign,5.07143,4,"['Wargame', 'World War II']",['Hexagon Grid']
89976,Bugs & Co,5.40309,1,"['Action / Dexterity', 'Childrens Game', 'Memory', 'Party Game', 'Real-time']","['Memory', 'Set Collection']"
6977,Mission Command Land,5.42492,1.4,"['Deduction', 'Miniatures', 'Modern Warfare', 'Wargame']","['Dice Rolling', 'Simultaneous Action Selection']"
4042,Dweebs Geeks & Weirdos,4.96774,1,"['Action / Dexterity', 'Childrens Game', 'Humor', 'Party Game']",['Line Drawing']
1802,Zwickern,4.86774,2,['Card Game'],"['Hand Management', 'Set Collection', 'Team-Based Game']"
162915,8 the Liar,4.87632,1,['Bluffing'],['Hand Management']
33023,Trivial Pursuit Greatest Hits,5.01681,1.5,"['Movies / TV / Radio theme', 'Party Game', 'Trivia']",['Roll / Spin and Move']
22380,CSI  Senses,5.145,1.4,"['Movies / TV / Radio theme', 'Murder/Mystery']","['Movies / TV / Radio theme', 'Murder/Mystery']"
10303,F*ck This!,4.85833,1,"['Card Game', 'Mature / Adult', 'Party Game', 'Word Game']","['Cooperative Game', 'Set Collection', 'Trick-taking']"
5621,Bleeding Sherwood,5.32933,1.4286,"['Card Game', 'Print & Play']",['Auction/Bidding']
1636,The Quest of the Philosopher's Stone,5.40921,2.3636,"['Deduction', 'Fantasy', 'Medieval', 'Puzzle']","['Deduction', 'Fantasy', 'Medieval', 'Puzzle']"
74310,Falklands Showdown  The 1982 Anglo-Argentine War,5.10455,2.2,"['Modern Warfare', 'Wargame']",['Area Movement']
24706,Where is Moldova?,5.33962,1,"['Memory', 'Trivia']","['Memory', 'Set Collection']"
3324,Railroader,5.36949,1.4762,"['American West', 'Childrens Game', 'Racing', 'Trains']","['Push Your Luck', 'Roll / Spin and Move', 'Tile Placement']"
4893,The Real Ghostbusters Game,5.33862,1.2857,"['Adventure', 'Childrens Game', 'Movies / TV / Radio theme', 'Science Fiction']","['Roll / Spin and Move', 'Set Collection']"
2925,The Dukes of Hazzard Game,4.975,1,"['Movies / TV / Radio theme', 'Racing']",['Roll / Spin and Move']
1184,Zug nach Westen,5.22361,2,"['Exploration', 'Trains']","['Dice Rolling', 'Modular Board', 'Network and Route Building']"
5347,Edge City,5.05489,2,['Science Fiction'],"['Modular Board', 'Player Elimination', 'Variable Player Powers']"
100374,Atlantida,5.05484,4.1667,"['City Building', 'Civilization', 'Fantasy', 'Print & Play']","['Area Majority / Influence', 'Area Movement', 'Modular Board', 'Variable Player Powers']"
160067,The Worst Game Ever,5.42763,1.1429,"['Action / Dexterity', 'Bluffing', 'Card Game', 'Dice', 'Memory', 'Party Game']","['Auction/Bidding', 'Betting and Bluffing', 'Dice Rolling', 'Hand Management', 'Memory', 'Player Elimination']"
10511,Gute Freunde,5,1,"['Animals', 'Childrens Game', 'Math', 'Racing']","['Modular Board', 'Point to Point Movement']"
6499,Two Player Brick by Brick,5.2831,1,"['Puzzle', 'Real-time']","['Cooperative Game', 'Pattern Building', 'Pattern Recognition', 'Simultaneous Action Selection', 'Team-Based Game']"
1200,Sagarian,5.0119,1.5,"['Memory', 'Trivia']","['Memory', 'Trivia']"
16158,Wangaratta,4.88529,0,"['Dice', 'Economic', 'Nautical', 'Transportation']","['Commodity Speculation', 'Pick-up and Deliver', 'Trading']"
333,Waterworks,5.52568,1.2089,['Card Game'],"['Take That', 'Tile Placement']"
97888,Monopoly  Doctor Who,5.25,2,"['Economic', 'Movies / TV / Radio theme', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
5361,Doubletrack,5.18919,1.25,['Racing'],"['Auction/Bidding', 'Roll / Spin and Move']"
1473,Barbarians,5.31905,2.7,"['Ancient', 'Wargame']",['Hexagon Grid']
6681,Back Off! Buzzard,4.92857,1,"['Animals', 'Childrens Game', 'Electronic']",['Point to Point Movement']
9227,Weed!,5.37682,1.0833,"['Card Game', 'Environmental', 'Farming']",['Set Collection']
3271,Battlesuit,5.34091,2.3077,"['Science Fiction', 'Wargame']",['Hexagon Grid']
3342,Soccerama,5.10294,1.6667,"['Dice', 'Sports']","['Auction/Bidding', 'Roll / Spin and Move', 'Variable Player Powers']"
26540,Napoleonic Battles  Austerlitz 1805,4.94286,2,"['Napoleonic', 'Wargame']","['Area Movement', 'Dice Rolling', 'Simulation']"
13384,Election USA,5.13708,1.7333,['Political'],['Political']
17579,Scrambled States of America 2,4.84667,1.25,"['Card Game', 'Educational']",['Pattern Recognition']
22801,Rapido,4.84667,1,['Action / Dexterity'],['Action / Dexterity']
6006,Iron Cross,5.30833,2.7778,"['Wargame', 'World War II']",['Hexagon Grid']
58253,Appletters,5.3746,1.2222,['Word Game'],['Tile Placement']
3253,Perpetual Notion,5.2069,1,"['Card Game', 'Word Game']","['Card Game', 'Word Game']"
32684,Scene It? Pirates of the Caribbean,4.99634,2,"['Electronic', 'Movies / TV / Radio theme', 'Party Game', 'Pirates', 'Trivia']","['Card Drafting', 'Roll / Spin and Move']"
4866,Park and Shop,5.225,1.5,['Transportation'],"['Area Movement', 'Pick-up and Deliver', 'Roll / Spin and Move']"
5839,Trivial Pursuit  Walt Disney Family Edition Card Set,5.34196,2,"['Childrens Game', 'Movies / TV / Radio theme', 'Party Game', 'Trivia']",['Roll / Spin and Move']
209378,Totem,5.1375,0,['Tactic'],['Action Queue']
2492,Doctor Faust,5.29152,1.6667,"['Fantasy', 'Renaissance']",['Action Points']
13916,Mr & Mrs Family Edition,5.08231,1,"['Movies / TV / Radio theme', 'Trivia']","['Cooperative Game', 'Team-Based Game']"
5841,Quick Wit,5.14815,1.75,"['Party Game', 'Trivia', 'Word Game']","['Party Game', 'Trivia', 'Word Game']"
13412,What's in Ned's Head?,5.14706,1,"['Action / Dexterity', 'Childrens Game', 'Humor']",['Pattern Recognition']
38577,Monopoly  Star Wars \u2013 The Clone Wars,5.27419,1.5,"['Economic', 'Movies / TV / Radio theme', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
4023,Frag Deadlands,5.46201,2,"['American West', 'Card Game', 'Dice', 'Fighting', 'Video Game Theme']","['Area Movement', 'Dice Rolling', 'Roll / Spin and Move']"
